Country;Year;Total_NCD_Death
Bangladesh;2017;527705
Bangladesh;2018;548227
Bangladesh;2019;570263
Bangladesh;2020;583238
Bangladesh;2021;578585
Bhutan;2017;2882
Bhutan;2018;2855
Bhutan;2019;2807
Bhutan;2020;2781
Bhutan;2021;2711
Democratic People's Republic of Korea;2017;206373
Democratic People's Republic of Korea;2018;205911
Democratic People's Republic of Korea;2019;211200
Democratic People's Republic of Korea;2020;210705
Democratic People's Republic of Korea;2021;209833
India;2017;5899196
India;2018;6115973
India;2019;6302912
India;2020;6375500
India;2021;6401447
Indonesia;2017;1423339
Indonesia;2018;1454337
Indonesia;2019;1487277
Indonesia;2020;1481459
Indonesia;2021;1378155
Maldives;2017;1180
Maldives;2018;1166
Maldives;2019;2366
Maldives;2020;2324
Maldives;2021;2169
Myanmar;2017;268449
Myanmar;2018;277543
Myanmar;2019;283620
Myanmar;2020;289900
Myanmar;2021;276825
Nepal;2017;103422
Nepal;2018;106559
Nepal;2019;109269
Nepal;2020;111283
Nepal;2021;110051
Sri Lanka;2017;114544
Sri Lanka;2018;116091
Sri Lanka;2019;115872
Sri Lanka;2020;89433
Sri Lanka;2021;111316
Thailand;2017;352515
Thailand;2018;373082
Thailand;2019;398900
Thailand;2020;416598
Thailand;2021;429571
Timor Leste;2017;4156
Timor Leste;2018;4394
Timor Leste;2019;4662
Timor Leste;2020;4401
Timor Leste;2021;4767
